OrderID,CustomerID,PaymentID,OrderDate,ShipperID,ShipDate,DeliveryDate,Total_order_amount
7655562,57133,5,2020-05-03,8,2020-05-05,2020-05-20,21711.7
7655563,57125,4,2020-05-03,4,2020-05-06,2020-05-16,1337.5
7655564,57081,4,2020-05-05,6,2020-05-06,2020-05-21,12730.01
7655565,57142,4,2020-05-06,2,2020-05-13,2020-06-01,19608.5
7655566,57143,4,2020-05-07,4,2020-05-17,2020-05-20,498
7655567,57086,3,2020-05-08,6,2020-05-18,2020-05-24,10376.5875
7655568,57136,4,2020-05-09,3,2020-05-11,2020-05-31,14963.1
7655569,57082,6,2020-05-09,8,2020-05-10,2020-05-12,7995.5
7655570,57084,6,2020-05-10,2,2020-05-16,2020-05-24,5023.95
7655571,57160,5,2020-05-10,6,2020-05-18,2020-05-23,24547.4
7655572,57125,4,2020-05-10,8,2020-05-11,2020-05-20,2340
7655573,57179,6,2020-05-13,1,2020-05-14,2020-05-26,29084.06
7655574,57158,5,2020-05-13,1,2020-05-15,2020-05-16,9525
7655575,57117,4,2020-05-13,3,2020-05-15,2020-05-26,50560.4
7655576,57158,6,2020-05-14,5,2020-05-16,2020-06-02,38568.5
7655577,57105,6,2020-05-16,2,2020-05-26,2020-06-13,3242
7655578,57117,5,2020-05-17,5,2020-05-20,2020-06-01,79195.08
7655579,57176,4,2020-05-17,1,2020-05-19,2020-06-05,1820
7655580,57144,4,2020-05-17,6,2020-05-22,2020-06-09,14381.1
7655581,57157,5,2020-05-17,1,2020-05-18,2020-06-07,1425
7655582,57085,6,2020-05-17,8,2020-05-25,2020-05-28,9581.85
7655583,57095,5,2020-05-17,2,2020-05-27,2020-06-16,10740
7655584,57177,4,2020-05-17,2,2020-05-25,2020-05-29,26291.05
7655585,57137,4,2020-05-18,7,2020-05-24,2020-06-05,9796.1
7655586,57169,4,2020-05-18,5,2020-05-25,2020-06-04,7654
7655587,57147,4,2020-05-18,5,2020-05-21,2020-06-05,4102
7655588,57091,4,2020-05-19,2,2020-05-21,2020-05-24,33106
7655589,57103,4,2020-05-19,7,2020-05-21,2020-06-01,20807
7655590,57094,3,2020-05-19,3,2020-05-20,2020-05-23,17587.945
7655591,57125,4,2020-05-20,8,2020-05-30,2020-06-11,3924
7655592,57152,4,2020-05-22,5,2020-05-24,2020-06-06,12589
7655593,57091,3,2020-05-22,7,2020-05-31,2020-06-15,4342.65
7655594,57137,4,2020-05-23,4,2020-05-26,2020-06-13,2647
7655595,57176,2,2020-05-23,2,2020-05-25,2020-05-29,23272.5
7655596,57158,4,2020-05-24,7,2020-06-03,2020-06-12,9258.2
7655597,57172,4,2020-05-25,1,2020-05-26,2020-06-15,18275.75
7655598,57145,4,2020-05-26,6,2020-05-28,2020-06-11,105
7655599,57123,5,2020-05-26,2,2020-06-04,2020-06-13,35797.47
7655600,57110,6,2020-05-27,6,2020-06-01,2020-06-18,6111.49
7655601,57141,2,2020-05-28,1,2020-06-04,2020-06-19,5460
7655602,57097,4,2020-05-28,3,2020-06-03,2020-06-21,36436.15
7655603,57132,5,2020-05-29,1,2020-05-30,2020-06-07,13845
7655604,57106,2,2020-05-30,2,2020-06-06,2020-06-14,7412
7655605,57103,4,2020-06-01,1,2020-06-11,2020-06-19,20090.25
7655606,57101,4,2020-06-01,4,2020-06-02,2020-06-18,270
7655607,57103,4,2020-06-01,6,2020-06-07,2020-06-13,7032.114
7655608,57153,4,2020-06-02,3,2020-06-06,2020-06-24,4041.9
7655609,57153,3,2020-06-03,7,2020-06-12,2020-06-26,21475
7655610,57164,4,2020-06-03,7,2020-06-13,2020-06-28,182458.764
7655611,57119,3,2020-06-03,5,2020-06-06,2020-06-23,1134
7655612,57170,5,2020-06-04,7,2020-06-06,2020-06-07,16685
7655613,57110,6,2020-06-04,7,2020-06-14,2020-06-29,26365.24
7655614,57090,3,2020-06-04,5,2020-06-12,2020-06-19,11292
7655615,57147,5,2020-06-04,6,2020-06-12,2020-06-14,3246.45
7655616,57105,5,2020-06-04,3,2020-06-11,2020-06-26,10414.1
7655617,57089,3,2020-06-05,6,2020-06-06,2020-06-20,12710
7655618,57139,3,2020-06-05,6,2020-06-07,2020-06-26,3580
7655619,57193,6,2020-06-06,6,2020-06-11,2020-06-15,20192.12
7655620,57110,4,2020-06-06,2,2020-06-07,2020-06-18,40752.72
7655621,57143,6,2020-06-07,3,2020-06-09,2020-06-27,16164
7655622,57125,4,2020-06-07,8,2020-06-12,2020-06-20,10497.375
7655623,57187,4,2020-06-09,3,2020-06-10,2020-06-11,10086.48
7655624,57171,4,2020-06-09,4,2020-06-19,2020-07-06,17987.85
7655625,57186,3,2020-06-09,7,2020-06-13,2020-06-16,28015
7655626,57081,4,2020-06-10,6,2020-06-18,2020-06-21,2071.818
7655627,57204,1,2020-06-10,3,2020-06-13,2020-06-28,33204.564
7655628,57167,4,2020-06-10,6,2020-06-15,2020-06-25,12953.313
7655629,57166,4,2020-06-11,3,2020-06-16,2020-06-18,10710.72
7655630,57181,4,2020-06-12,2,2020-06-16,2020-07-03,3826.125
7655631,57088,4,2020-06-13,5,2020-06-17,2020-06-21,7411.5
7655632,57167,5,2020-06-13,3,2020-06-20,2020-07-04,1043
7655633,57174,4,2020-06-14,1,2020-06-20,2020-07-08,18409.05
7655634,57107,4,2020-06-14,8,2020-06-17,2020-07-01,10989.594
7655635,57205,4,2020-06-15,6,2020-06-18,2020-07-07,25554.15
7655636,57151,5,2020-06-16,8,2020-06-18,2020-06-24,29117
7655637,57163,4,2020-06-16,4,2020-06-23,2020-07-11,14561.325
7655638,57205,4,2020-06-16,8,2020-06-20,2020-07-05,4600.98
7655639,57152,4,2020-06-16,6,2020-06-21,2020-06-27,5139.18
7655640,57142,3,2020-06-17,3,2020-06-21,2020-06-22,5949
7655641,57181,4,2020-06-19,8,2020-06-20,2020-06-23,4704.3
7655642,57157,4,2020-06-19,3,2020-06-24,2020-06-25,2809.8
7655643,57126,4,2020-06-19,2,2020-06-21,2020-07-06,22687.38
7655644,57106,4,2020-06-20,2,2020-06-23,2020-06-29,26813.7
7655645,57125,2,2020-06-20,8,2020-06-28,2020-07-14,8200.13
7655646,57193,4,2020-06-21,7,2020-06-22,2020-06-26,10660.5
7655647,57210,4,2020-06-21,8,2020-06-22,2020-07-11,67934.943
7655648,57120,6,2020-06-22,6,2020-06-24,2020-06-27,12826
7655649,57099,4,2020-06-22,8,2020-06-23,2020-06-30,36308.583
7655650,57175,4,2020-06-22,3,2020-06-29,2020-07-10,17781.525
7655651,57131,4,2020-06-24,5,2020-07-02,2020-07-21,6800.85
7655652,57200,5,2020-06-25,8,2020-07-02,2020-07-07,22589.5
7655653,57127,5,2020-06-25,1,2020-07-04,2020-07-18,16662.75
7655654,57209,3,2020-06-25,6,2020-06-29,2020-07-17,25129.4
7655655,57141,4,2020-06-26,2,2020-07-03,2020-07-06,9857.34
7655656,57173,3,2020-06-26,7,2020-06-27,2020-07-10,9277
7655657,57165,3,2020-06-27,5,2020-07-01,2020-07-04,73374.5
7655658,57119,4,2020-06-27,8,2020-07-03,2020-07-14,7096.14
7655659,57204,6,2020-06-27,6,2020-06-29,2020-07-13,14576.75
7655660,57205,4,2020-06-28,5,2020-07-02,2020-07-10,29206.89
7655661,57090,4,2020-06-29,6,2020-07-05,2020-07-10,14299.245
7655662,57161,6,2020-06-29,2,2020-07-01,2020-07-02,17661.5
7655663,57158,4,2020-06-30,7,2020-07-06,2020-07-18,2244.06
7655664,57214,5,2020-06-30,5,2020-07-07,2020-07-23,43791.73
7655665,57168,4,2020-07-01,4,2020-07-04,2020-07-20,26220.915
7655666,57088,1,2020-07-01,1,2020-07-06,2020-07-19,1404
7655667,57115,3,2020-07-01,5,2020-07-11,2020-07-27,758
7655668,57087,4,2020-07-02,7,2020-07-05,2020-07-20,7210.62
7655669,57156,4,2020-07-02,6,2020-07-06,2020-07-16,29371.968
7655670,57111,4,2020-07-03,7,2020-07-07,2020-07-20,26682.39
7655671,57199,4,2020-07-04,3,2020-07-09,2020-07-11,8629.056
7655672,57172,3,2020-07-05,8,2020-07-11,2020-07-25,40797.15
7655673,57117,6,2020-07-05,7,2020-07-07,2020-07-26,3841
7655674,57175,6,2020-07-05,3,2020-07-09,2020-07-24,9228.75
7655675,57199,4,2020-07-06,1,2020-07-16,2020-08-04,4008.33
7655676,57178,3,2020-07-07,1,2020-07-17,2020-07-28,2912
7655677,57125,6,2020-07-08,6,2020-07-16,2020-07-29,33379.79
7655678,57205,6,2020-07-08,4,2020-07-09,2020-07-20,26728.15
7655679,57198,4,2020-07-08,7,2020-07-12,2020-07-26,10976.85
7655680,57096,3,2020-07-08,8,2020-07-09,2020-07-27,4164.32
7655681,57098,4,2020-07-09,4,2020-07-19,2020-08-06,774.9
7655682,57145,3,2020-07-09,5,2020-07-10,2020-07-11,25777.8
7655683,57152,4,2020-07-09,3,2020-07-16,2020-07-21,5190.3
7655684,57191,6,2020-07-10,4,2020-07-11,2020-07-23,27378
7655685,57088,4,2020-07-10,4,2020-07-11,2020-07-28,11019.78
7655686,57212,5,2020-07-11,2,2020-07-13,2020-07-23,6038.55
7655687,57213,3,2020-07-11,1,2020-07-14,2020-07-25,16994.25
7655688,57101,4,2020-07-12,1,2020-07-15,2020-07-20,3305.7
7655689,57082,3,2020-07-12,1,2020-07-15,2020-08-01,17870.3
7655690,57166,4,2020-07-13,5,2020-07-15,2020-07-17,2281.14
7655691,57186,4,2020-07-14,1,2020-07-20,2020-07-22,14528.7
7655692,57179,3,2020-07-14,2,2020-07-16,2020-07-23,31772.7
7655693,57092,4,2020-07-14,5,2020-07-20,2020-08-08,7812
7655694,57194,4,2020-07-15,3,2020-07-18,2020-08-02,101971.98
7655695,57141,4,2020-07-15,6,2020-07-25,2020-07-30,26727.75
7655696,57093,6,2020-07-15,7,2020-07-24,2020-08-03,28715.5
7655697,57185,4,2020-07-17,1,2020-07-22,2020-08-02,18429.57
7655698,57111,6,2020-07-18,3,2020-07-26,2020-08-15,27693.05
7655699,57210,5,2020-07-19,8,2020-07-22,2020-07-24,3557
7655700,57191,4,2020-07-19,7,2020-07-28,2020-08-07,6101.1
7655701,57111,4,2020-07-19,1,2020-07-21,2020-08-08,41905.89
7655702,57220,3,2020-07-19,5,2020-07-22,2020-08-10,47456.26
7655703,57176,6,2020-07-19,7,2020-07-23,2020-08-02,617.5
7655704,57091,4,2020-07-20,6,2020-07-24,2020-08-05,2001.6
7655705,57204,4,2020-07-20,7,2020-07-30,2020-08-17,8218.98
7655706,57210,2,2020-07-21,1,2020-07-25,2020-07-26,4511
7655707,57129,5,2020-07-22,1,2020-07-24,2020-08-03,25412.46
7655708,57141,3,2020-07-23,8,2020-07-26,2020-07-27,14633.55
7655709,57135,4,2020-07-23,2,2020-07-26,2020-08-08,6408
7655710,57098,4,2020-07-23,3,2020-07-31,2020-08-12,10139.58
7655711,57158,5,2020-07-23,3,2020-07-29,2020-08-01,7453
7655712,57096,3,2020-07-24,8,2020-07-30,2020-08-01,6320
7655713,57110,4,2020-07-25,2,2020-07-26,2020-08-11,8049.6
7655714,57096,4,2020-07-25,6,2020-07-27,2020-08-09,3772.215
7655715,57192,4,2020-07-26,5,2020-08-02,2020-08-05,53675.1
7655716,57108,3,2020-07-26,7,2020-07-28,2020-08-15,17131.76
7655717,57210,6,2020-07-26,1,2020-07-29,2020-08-08,7192.75
7655718,57141,3,2020-07-27,6,2020-07-29,2020-08-05,6641.4
7655719,57221,4,2020-07-27,3,2020-08-04,2020-08-14,10767.735
7655720,57158,4,2020-07-27,5,2020-08-03,2020-08-15,6376.59
7655721,57122,5,2020-07-27,8,2020-07-31,2020-08-18,18988.16
7655722,57087,4,2020-07-28,8,2020-08-01,2020-08-04,4702.5
7655723,57101,5,2020-07-29,1,2020-08-03,2020-08-20,1800
7655724,57218,4,2020-07-29,1,2020-07-31,2020-08-04,15169.5
7655725,57081,3,2020-07-29,3,2020-08-08,2020-08-09,6266.7
7655726,57171,3,2020-07-29,4,2020-07-31,2020-08-14,8426.5
7655727,57206,4,2020-07-29,8,2020-07-31,2020-08-17,25255.989
7655728,57092,5,2020-07-30,6,2020-07-31,2020-08-03,15456
7655729,57199,6,2020-07-31,6,2020-08-03,2020-08-14,210
7655730,57146,5,2020-07-31,1,2020-08-01,2020-08-10,4169
7655731,57120,4,2020-08-01,6,2020-08-06,2020-08-11,9886.5
7655732,57214,5,2020-08-01,2,2020-08-05,2020-08-12,13536.77
7655733,57132,4,2020-08-01,7,2020-08-07,2020-08-23,32207.175
7655734,57101,4,2020-08-02,4,2020-08-05,2020-08-09,50824.8
7655735,57146,4,2020-08-02,6,2020-08-11,2020-08-15,1656
7655736,57141,5,2020-08-02,4,2020-08-11,2020-08-19,9409
7655737,57108,6,2020-08-03,4,2020-08-07,2020-08-10,5465
7655738,57096,4,2020-08-04,3,2020-08-14,2020-08-24,8762.085
7655739,57172,3,2020-08-05,1,2020-08-14,2020-08-25,34705.2
7655740,57155,5,2020-08-05,5,2020-08-06,2020-08-24,3316.76
7655741,57111,3,2020-08-05,6,2020-08-06,2020-08-17,3298.37
7655742,57141,3,2020-08-06,1,2020-08-14,2020-08-20,5777
7655743,57187,3,2020-08-06,8,2020-08-11,2020-08-17,4621
7655744,57190,4,2020-08-06,5,2020-08-12,2020-08-23,14727.6
7655745,57182,3,2020-08-08,1,2020-08-09,2020-08-27,1586.9
7655746,57137,5,2020-08-09,7,2020-08-16,2020-08-30,3151.12
7655747,57155,4,2020-08-09,2,2020-08-15,2020-08-16,853.2
7655748,57086,6,2020-08-09,4,2020-08-14,2020-08-19,37827.6
7655749,57091,6,2020-08-10,6,2020-08-14,2020-09-03,25919
7655750,57089,4,2020-08-11,8,2020-08-15,2020-08-27,1339.2
7655751,57206,3,2020-08-11,5,2020-08-13,2020-08-24,20674
7655752,57216,6,2020-08-11,4,2020-08-17,2020-08-18,58800
7655753,57142,3,2020-08-12,2,2020-08-14,2020-08-31,3391.5
7655754,57193,3,2020-08-13,4,2020-08-22,2020-09-01,7500.5
7655755,57145,1,2020-08-13,6,2020-08-17,2020-08-18,1425
7655756,57169,5,2020-08-13,2,2020-08-19,2020-08-29,11664.8
7655757,57105,5,2020-08-13,6,2020-08-21,2020-09-08,25451
7655758,57111,4,2020-08-14,4,2020-08-24,2020-09-05,32517.63
7655759,57197,4,2020-08-14,3,2020-08-18,2020-09-01,24872.4
7655760,57203,3,2020-08-15,5,2020-08-20,2020-08-28,7681.95
7655761,57104,4,2020-08-15,8,2020-08-17,2020-08-21,20390.4
7655762,57119,4,2020-08-16,3,2020-08-20,2020-08-23,20713.5
7655763,57114,4,2020-08-16,3,2020-08-22,2020-08-27,55139.85
7655764,57159,4,2020-08-16,1,2020-08-18,2020-08-23,12681.9
7655765,57224,4,2020-08-16,2,2020-08-21,2020-09-02,9901.8
7655766,57219,3,2020-08-16,2,2020-08-20,2020-08-22,8434
7655767,57132,4,2020-08-17,4,2020-08-21,2020-09-04,2419.2
7655768,57217,4,2020-08-17,2,2020-08-24,2020-09-09,31871.25
7655769,57088,6,2020-08-17,3,2020-08-21,2020-09-10,10907
7655770,57202,3,2020-08-18,2,2020-08-28,2020-09-15,13048
7655771,57168,6,2020-08-18,1,2020-08-28,2020-09-02,2301
7655772,57162,4,2020-08-19,3,2020-08-24,2020-09-06,6967.62
7655773,57142,4,2020-08-19,4,2020-08-26,2020-09-12,23162.895
7655774,57134,3,2020-08-19,1,2020-08-20,2020-09-02,1145
7655775,57136,4,2020-08-19,7,2020-08-21,2020-09-09,28711.278
7655776,57169,3,2020-08-19,7,2020-08-22,2020-09-09,21867.93
7655777,57220,5,2020-08-20,6,2020-08-25,2020-09-01,8122
7655778,57222,5,2020-08-20,2,2020-08-28,2020-08-30,11427.25
7655779,57234,4,2020-08-20,3,2020-08-28,2020-09-13,19208.7
7655780,57113,6,2020-08-21,8,2020-08-30,2020-08-31,16708.68
7655781,57109,3,2020-08-21,2,2020-08-31,2020-09-05,7823.25
7655782,57182,4,2020-08-21,1,2020-08-30,2020-09-16,14141.16
7655783,57116,6,2020-08-21,1,2020-08-29,2020-08-30,4043.84
7655784,57146,5,2020-08-22,3,2020-08-26,2020-09-01,4907
7655785,57221,6,2020-08-22,4,2020-08-30,2020-09-07,24205.68
7655786,57209,3,2020-08-23,5,2020-08-24,2020-09-08,936
7655787,57186,3,2020-08-23,3,2020-08-27,2020-09-09,2661
7655788,57204,5,2020-08-23,4,2020-08-24,2020-08-30,21005.81
7655789,57100,4,2020-08-24,2,2020-09-03,2020-09-14,17179.47
7655790,57158,1,2020-08-24,8,2020-08-30,2020-09-11,38237.18
7655791,57086,4,2020-08-24,7,2020-09-01,2020-09-10,20418.3
7655792,57093,6,2020-08-25,8,2020-09-04,2020-09-07,32508
7655793,57176,4,2020-08-26,6,2020-08-27,2020-09-01,22524.3
7655794,57097,4,2020-08-27,3,2020-08-29,2020-09-02,5600.655
7655795,57118,4,2020-08-27,2,2020-09-06,2020-09-24,22984.497
7655796,57150,3,2020-08-27,3,2020-08-30,2020-09-06,38238.25
7655797,57136,4,2020-08-28,5,2020-09-04,2020-09-16,175.5
7655798,57198,6,2020-08-28,1,2020-09-07,2020-09-11,46850
7655799,57224,5,2020-08-28,1,2020-08-30,2020-09-14,18429.1
7655800,57216,4,2020-08-29,2,2020-09-07,2020-09-09,16807.5
7655801,57170,3,2020-08-29,5,2020-09-04,2020-09-18,2861.5
7655802,57172,4,2020-08-29,7,2020-09-04,2020-09-12,9481.5
7655803,57162,4,2020-08-29,6,2020-09-02,2020-09-20,45554.31
7655804,57221,2,2020-08-30,8,2020-09-04,2020-09-13,2559.29
7655805,57144,3,2020-08-31,6,2020-09-07,2020-09-08,10952.36
7655806,57180,4,2020-09-01,8,2020-09-02,2020-09-12,2458.575
7655807,57214,5,2020-09-01,2,2020-09-04,2020-09-12,31488
7655808,57134,4,2020-09-01,8,2020-09-05,2020-09-11,3551.157
7655809,57145,6,2020-09-01,6,2020-09-03,2020-09-16,12937.5
7655810,57206,4,2020-09-03,4,2020-09-12,2020-09-17,23747.535
7655811,57186,6,2020-09-03,4,2020-09-08,2020-09-21,111907.74
7655812,57219,4,2020-09-03,5,2020-09-04,2020-09-14,5469.3
7655813,57160,5,2020-09-03,8,2020-09-07,2020-09-11,11843
7655814,57124,6,2020-09-04,7,2020-09-14,2020-09-23,17516.18
7655815,57209,3,2020-09-04,5,2020-09-14,2020-09-28,21334.42
7655816,57108,5,2020-09-05,6,2020-09-10,2020-09-16,7847
7655817,57090,3,2020-09-05,1,2020-09-09,2020-09-15,13084.68
7655818,57198,3,2020-09-06,8,2020-09-14,2020-09-16,1149
7655819,57205,3,2020-09-07,4,2020-09-12,2020-09-20,11389
7655820,57243,4,2020-09-07,7,2020-09-12,2020-09-30,11707.2
7655821,57169,6,2020-09-07,2,2020-09-13,2020-09-26,8404
7655822,57215,5,2020-09-07,6,2020-09-12,2020-10-02,12962
7655823,57214,4,2020-09-07,2,2020-09-09,2020-09-14,6225.354
7655824,57099,4,2020-09-07,8,2020-09-11,2020-09-28,30228.66
7655825,57217,4,2020-09-08,3,2020-09-14,2020-10-04,29662.2
7655826,57238,4,2020-09-08,6,2020-09-18,2020-10-06,3105
7655827,57083,4,2020-09-08,5,2020-09-17,2020-10-07,13387.23
7655828,57238,4,2020-09-09,4,2020-09-15,2020-09-30,10700.775
7655829,57243,3,2020-09-10,6,2020-09-12,2020-09-16,3735
7655830,57176,3,2020-09-11,1,2020-09-16,2020-10-02,9664
7655831,57151,4,2020-09-12,4,2020-09-15,2020-09-16,7636.5
7655832,57128,4,2020-09-12,1,2020-09-15,2020-09-22,12914.37
7655833,57092,3,2020-09-12,1,2020-09-17,2020-09-20,11499
7655834,57179,3,2020-09-12,8,2020-09-21,2020-09-26,8961.4
7655835,57120,4,2020-09-14,6,2020-09-15,2020-10-02,11789.82
7655836,57088,3,2020-09-14,3,2020-09-18,2020-09-26,13484
7655837,57144,6,2020-09-14,4,2020-09-16,2020-09-29,10588.36
7655838,57220,4,2020-09-14,1,2020-09-16,2020-10-04,5341.104
7655839,57159,4,2020-09-14,1,2020-09-20,2020-10-01,39247.2
7655840,57211,2,2020-09-14,5,2020-09-23,2020-09-28,81448.8
7655841,57211,4,2020-09-15,6,2020-09-22,2020-10-11,409.5
7655842,57160,4,2020-09-15,5,2020-09-16,2020-09-21,14579.55
7655843,57216,4,2020-09-16,3,2020-09-21,2020-09-27,2379.258
7655844,57181,4,2020-09-16,4,2020-09-25,2020-10-03,25214.04
7655845,57250,5,2020-09-16,5,2020-09-26,2020-10-04,14540
7655846,57114,4,2020-09-17,1,2020-09-27,2020-10-12,38914.911
7655847,57238,4,2020-09-17,6,2020-09-24,2020-09-29,14256
7655848,57215,6,2020-09-17,5,2020-09-24,2020-10-02,1320
7655849,57117,4,2020-09-17,7,2020-09-18,2020-09-23,27737.82
7655850,57089,4,2020-09-17,6,2020-09-18,2020-10-03,8979.975
7655851,57212,3,2020-09-17,4,2020-09-18,2020-10-07,15444
7655852,57181,4,2020-09-17,1,2020-09-19,2020-09-30,15225.732
7655853,57092,4,2020-09-18,7,2020-09-20,2020-10-04,9724.563
7655854,57182,4,2020-09-18,3,2020-09-22,2020-09-25,25675.2
7655855,57126,3,2020-09-18,2,2020-09-27,2020-10-14,7971
7655856,57201,4,2020-09-18,5,2020-09-22,2020-09-23,35976.6
7655857,57135,5,2020-09-18,8,2020-09-20,2020-10-08,864
7655858,57206,4,2020-09-18,1,2020-09-26,2020-09-29,24075.585
7655859,57258,6,2020-09-19,5,2020-09-24,2020-10-09,5973.85
7655860,57089,4,2020-09-19,3,2020-09-22,2020-10-05,21756.33
7655861,57144,6,2020-09-19,3,2020-09-29,2020-10-11,30653.9
7655862,57195,3,2020-09-21,3,2020-09-26,2020-10-04,9963.4
7655863,57132,3,2020-09-21,8,2020-09-26,2020-10-11,17871
7655864,57230,6,2020-09-21,6,2020-09-28,2020-10-04,19726.95
7655865,57259,5,2020-09-21,8,2020-09-29,2020-09-30,39788.3
7655866,57085,4,2020-09-22,1,2020-09-28,2020-09-30,8221.5
7655867,57198,5,2020-09-22,7,2020-09-30,2020-10-16,37961.3
7655868,57162,4,2020-09-22,7,2020-09-25,2020-10-02,22145.319
7655869,57100,4,2020-09-22,8,2020-09-26,2020-10-01,18696.15
7655870,57237,6,2020-09-22,7,2020-09-30,2020-10-20,14453.06
7655871,57257,4,2020-09-23,4,2020-09-25,2020-09-26,55890
7655872,57203,4,2020-09-23,4,2020-09-26,2020-10-07,17422.2
7655873,57260,5,2020-09-23,7,2020-09-25,2020-09-30,3306
7655874,57229,4,2020-09-24,7,2020-09-30,2020-10-10,8772.93
7655875,57203,4,2020-09-24,2,2020-09-26,2020-10-16,12750.57
7655876,57081,3,2020-09-24,7,2020-09-25,2020-10-01,12996.1
7655877,57130,4,2020-09-24,2,2020-09-28,2020-10-07,24541.875
7655878,57213,4,2020-09-25,1,2020-10-01,2020-10-05,25634.268
7655879,57222,5,2020-09-25,5,2020-09-26,2020-10-05,1680.7
7655880,57232,4,2020-09-26,3,2020-09-30,2020-10-04,34577.325
7655881,57252,4,2020-09-26,6,2020-10-06,2020-10-15,35570.7
